Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
16,4,2015-04-02,11412,1016,1,1,0,1
17,4,2015-04-02,8703,981,1,1,0,1
18,4,2015-04-02,9566,895,1,1,0,1
19,4,2015-04-02,10103,831,1,1,0,1
20,4,2015-04-02,9987,1007,1,1,0,1
1,3,2015-04-01,6816,707,1,1,0,1
2,3,2015-04-01,6473,756,1,1,0,1
3,3,2015-04-01,8546,853,1,1,0,1
4,3,2015-04-01,13731,1662,1,1,0,1
5,3,2015-04-01,7720,773,1,1,0,0
6,3,2015-04-01,7705,725,1,1,0,0
7,3,2015-04-01,13381,1123,1,1,0,1
8,3,2015-04-01,8872,883,1,1,0,1
9,3,2015-04-01,9440,732,1,1,0,1
10,3,2015-04-01,6542,618,1,1,0,1
11,3,2015-04-01,12243,1394,1,1,0,1
12,3,2015-04-01,11864,1169,1,1,0,1
13,3,2015-04-01,8207,550,1,1,0,1
14,3,2015-04-01,6218,633,1,1,0,1
15,3,2015-04-01,10155,887,1,1,0,1
16,3,2015-04-01,12058,1060,1,1,0,1
17,3,2015-04-01,8835,974,1,1,0,1
18,3,2015-04-01,9596,892,1,1,0,1
19,3,2015-04-01,9522,750,1,1,0,1
20,3,2015-04-01,10146,969,1,1,0,1
1,2,2015-03-31,6206,589,1,1,0,1
2,2,2015-03-31,10107,850,1,1,0,1
3,2,2015-03-31,11299,862,1,1,0,1
4,2,2015-03-31,14451,1724,1,1,0,1
5,2,2015-03-31,7692,659,1,1,0,0
6,2,2015-03-31,6803,661,1,1,0,0
7,2,2015-03-31,11956,969,1,1,0,0
8,2,2015-03-31,8752,802,1,1,0,0
9,2,2015-03-31,8927,697,1,1,0,1
10,2,2015-03-31,5848,546,1,1,0,1
11,2,2015-03-31,11345,1206,1,1,0,0
12,2,2015-03-31,12875,1091,1,1,0,0
13,2,2015-03-31,6939,433,1,1,0,1
14,2,2015-03-31,7759,730,1,1,0,1
15,2,2015-03-31,12039,863,1,1,0,0
16,2,2015-03-31,10548,961,1,1,0,1
17,2,2015-03-31,10878,1062,1,1,0,1
18,2,2015-03-31,11338,957,1,1,0,1
19,2,2015-03-31,8555,651,1,1,0,1
20,2,2015-03-31,9856,839,1,1,0,1
1,1,2015-03-30,6714,697,1,1,0,1
2,1,2015-03-30,8733,777,1,1,0,1
3,1,2015-03-30,11282,933,1,1,0,1
4,1,2015-03-30,13117,1613,1,1,0,1
5,1,2015-03-30,8847,770,1,1,0,0
6,1,2015-03-30,6759,668,1,1,0,0
7,1,2015-03-30,12595,1059,1,1,0,0
8,1,2015-03-30,9514,839,1,1,0,0
9,1,2015-03-30,11578,795,1,1,0,1
10,1,2015-03-30,6774,628,1,1,0,1
11,1,2015-03-30,11442,1222,1,1,0,0
12,1,2015-03-30,13860,1166,1,1,0,0
13,1,2015-03-30,8488,528,1,1,0,1
14,1,2015-03-30,8927,840,1,1,0,1
15,1,2015-03-30,11975,923,1,1,0,0
16,1,2015-03-30,12377,1070,1,1,0,1
17,1,2015-03-30,11400,1038,1,1,0,1
18,1,2015-03-30,12473,1011,1,1,0,1
19,1,2015-03-30,11552,841,1,1,0,1
20,1,2015-03-30,11005,1001,1,1,0,1
1,7,2015-03-29,0,0,0,0,0,0
2,7,2015-03-29,0,0,0,0,0,0
3,7,2015-03-29,0,0,0,0,0,0
4,7,2015-03-29,0,0,0,0,0,0
5,7,2015-03-29,0,0,0,0,0,0
6,7,2015-03-29,0,0,0,0,0,0
7,7,2015-03-29,0,0,0,0,0,0
8,7,2015-03-29,0,0,0,0,0,0
9,7,2015-03-29,0,0,0,0,0,0
10,7,2015-03-29,0,0,0,0,0,1
11,7,2015-03-29,0,0,0,0,0,0
12,7,2015-03-29,0,0,0,0,0,0
13,7,2015-03-29,0,0,0,0,0,0
14,7,2015-03-29,0,0,0,0,0,0
15,7,2015-03-29,0,0,0,0,0,0
16,7,2015-03-29,0,0,0,0,0,0
17,7,2015-03-29,0,0,0,0,0,0
18,7,2015-03-29,0,0,0,0,0,0
19,7,2015-03-29,0,0,0,0,0,0
20,7,2015-03-29,0,0,0,0,0,0
1,6,2015-03-28,5208,605,1,0,0,0
2,6,2015-03-28,3011,355,1,0,0,0
3,6,2015-03-28,4247,464,1,0,0,0
4,6,2015-03-28,10540,1462,1,0,0,0
5,6,2015-03-28,2038,219,1,0,0,0
6,6,2015-03-28,3134,359,1,0,0,0
7,6,2015-03-28,6041,664,1,0,0,0
8,6,2015-03-28,3502,410,1,0,0,0
9,6,2015-03-28,6970,596,1,0,0,0
10,6,2015-03-28,5332,503,1,0,0,1
11,6,2015-03-28,6622,886,1,0,0,0
12,6,2015-03-28,7872,873,1,0,0,0
13,6,2015-03-28,4671,360,1,0,0,0
14,6,2015-03-28,3353,401,1,0,0,0
15,6,2015-03-28,6067,610,1,0,0,0
16,6,2015-03-28,6005,588,1,0,0,0
17,6,2015-03-28,2971,360,1,0,0,0
18,6,2015-03-28,5200,547,1,0,0,0
19,6,2015-03-28,4125,406,1,0,0,0
20,6,2015-03-28,6608,604,1,0,0,0
1,5,2015-03-27,4005,529,1,0,0,0
2,5,2015-03-27,3800,458,1,0,0,0
3,5,2015-03-27,5216,625,1,0,0,0
4,5,2015-03-27,8210,1156,1,0,0,0
5,5,2015-03-27,4181,499,1,0,0,0
6,5,2015-03-27,4101,499,1,0,0,0
7,5,2015-03-27,7534,811,1,0,0,0
8,5,2015-03-27,5172,632,1,0,0,0
9,5,2015-03-27,6346,577,1,0,0,0
10,5,2015-03-27,5114,507,1,0,0,1
11,5,2015-03-27,6943,1011,1,0,0,0
12,5,2015-03-27,6858,845,1,0,0,0
13,5,2015-03-27,4871,335,1,0,0,0
14,5,2015-03-27,4831,596,1,0,0,0
15,5,2015-03-27,6747,662,1,0,0,0
16,5,2015-03-27,7721,911,1,0,0,0
17,5,2015-03-27,5092,659,1,0,0,0
18,5,2015-03-27,6699,755,1,0,0,0
19,5,2015-03-27,5875,567,1,0,0,0
20,5,2015-03-27,7932,834,1,0,0,0
1,4,2015-03-26,3932,490,1,0,0,0
2,4,2015-03-26,3912,486,1,0,0,0
3,4,2015-03-26,6105,695,1,0,0,0
4,4,2015-03-26,7369,1091,1,0,0,0
5,4,2015-03-26,3711,460,1,0,0,0
6,4,2015-03-26,3930,465,1,0,0,0
7,4,2015-03-26,7158,822,1,0,0,0
8,4,2015-03-26,5508,733,1,0,0,0
9,4,2015-03-26,6414,582,1,0,0,0
10,4,2015-03-26,4778,553,1,0,0,1
11,4,2015-03-26,6211,955,1,0,0,0
12,4,2015-03-26,6334,772,1,0,0,0
13,4,2015-03-26,4057,308,1,0,0,0
14,4,2015-03-26,4942,616,1,0,0,0
15,4,2015-03-26,5642,576,1,0,0,0
16,4,2015-03-26,7498,909,1,0,0,0
17,4,2015-03-26,4725,657,1,0,0,0
18,4,2015-03-26,6083,631,1,0,0,0
19,4,2015-03-26,5711,610,1,0,0,0
20,4,2015-03-26,8876,946,1,0,0,0
1,3,2015-03-25,3531,447,1,0,0,0
2,3,2015-03-25,5150,684,1,0,0,0
3,3,2015-03-25,5538,679,1,0,0,0
4,3,2015-03-25,6681,1024,1,0,0,0
5,3,2015-03-25,4325,613,1,0,0,0
6,3,2015-03-25,4198,521,1,0,0,0
7,3,2015-03-25,5977,714,1,0,0,0
8,3,2015-03-25,5136,630,1,0,0,0
9,3,2015-03-25,5594,556,1,0,0,0
10,3,2015-03-25,3506,386,1,0,0,1
11,3,2015-03-25,7329,1070,1,0,0,0
12,3,2015-03-25,6985,896,1,0,0,0
13,3,2015-03-25,3228,282,1,0,0,0
14,3,2015-03-25,4917,585,1,0,0,0
15,3,2015-03-25,5579,526,1,0,0,0
16,3,2015-03-25,6934,830,1,0,0,0
17,3,2015-03-25,5235,711,1,0,0,0
18,3,2015-03-25,5474,669,1,0,0,0
19,3,2015-03-25,5697,597,1,0,0,0
20,3,2015-03-25,7921,906,1,0,0,0
1,2,2015-03-24,3547,464,1,0,0,0
2,2,2015-03-24,4436,523,1,0,0,0
3,2,2015-03-24,5256,670,1,0,0,0
4,2,2015-03-24,7470,1087,1,0,0,0
5,2,2015-03-24,4073,537,1,0,0,0
6,2,2015-03-24,3989,517,1,0,0,0
7,2,2015-03-24,7353,866,1,0,0,0
8,2,2015-03-24,5581,712,1,0,0,0
9,2,2015-03-24,6497,573,1,0,0,0
10,2,2015-03-24,5059,574,1,0,0,0
11,2,2015-03-24,6661,997,1,0,0,0
12,2,2015-03-24,5808,763,1,0,0,0
13,2,2015-03-24,3256,265,1,0,0,0
14,2,2015-03-24,5188,605,1,0,0,0
15,2,2015-03-24,5108,567,1,0,0,0
16,2,2015-03-24,7215,893,1,0,0,0
17,2,2015-03-24,5350,721,1,0,0,0
18,2,2015-03-24,5894,689,1,0,0,0
19,2,2015-03-24,6182,657,1,0,0,0
20,2,2015-03-24,7851,926,1,0,0,0
1,1,2015-03-23,3565,495,1,0,0,0
2,1,2015-03-23,4183,516,1,0,0,0
3,1,2015-03-23,5400,668,1,0,0,0
4,1,2015-03-23,8823,1263,1,0,0,0
5,1,2015-03-23,4028,540,1,0,0,0
6,1,2015-03-23,4241,560,1,0,0,0
7,1,2015-03-23,6907,835,1,0,0,0
8,1,2015-03-23,5613,748,1,0,0,0
9,1,2015-03-23,6882,659,1,0,0,0
10,1,2015-03-23,5790,611,1,0,0,0
11,1,2015-03-23,7149,1078,1,0,0,0
12,1,2015-03-23,6118,834,1,0,0,0
13,1,2015-03-23,3873,330,1,0,0,0
14,1,2015-03-23,5558,689,1,0,0,0
15,1,2015-03-23,5871,657,1,0,0,0
16,1,2015-03-23,7542,930,1,0,0,0
17,1,2015-03-23,4649,700,1,0,0,0
18,1,2015-03-23,5924,712,1,0,0,0
19,1,2015-03-23,5268,593,1,0,0,0
20,1,2015-03-23,8591,958,1,0,0,0
1,7,2015-03-22,0,0,0,0,0,0
2,7,2015-03-22,0,0,0,0,0,0
3,7,2015-03-22,0,0,0,0,0,0
4,7,2015-03-22,0,0,0,0,0,0
5,7,2015-03-22,0,0,0,0,0,0
6,7,2015-03-22,0,0,0,0,0,0
7,7,2015-03-22,0,0,0,0,0,0
8,7,2015-03-22,0,0,0,0,0,0
9,7,2015-03-22,0,0,0,0,0,0
10,7,2015-03-22,0,0,0,0,0,0
11,7,2015-03-22,0,0,0,0,0,0
12,7,2015-03-22,0,0,0,0,0,0
13,7,2015-03-22,0,0,0,0,0,0
14,7,2015-03-22,0,0,0,0,0,0
15,7,2015-03-22,0,0,0,0,0,0
16,7,2015-03-22,0,0,0,0,0,0
17,7,2015-03-22,0,0,0,0,0,0
18,7,2015-03-22,0,0,0,0,0,0
19,7,2015-03-22,0,0,0,0,0,0
20,7,2015-03-22,0,0,0,0,0,0
1,6,2015-03-21,3909,506,1,0,0,0
2,6,2015-03-21,2922,367,1,0,0,0
3,6,2015-03-21,3494,399,1,0,0,0
4,6,2015-03-21,10012,1411,1,0,0,0
5,6,2015-03-21,1783,201,1,0,0,0
6,6,2015-03-21,3121,356,1,0,0,0
7,6,2015-03-21,5085,528,1,0,0,0
8,6,2015-03-21,2993,381,1,0,0,0
9,6,2015-03-21,6622,590,1,0,0,0
10,6,2015-03-21,4508,493,1,0,0,0
11,6,2015-03-21,5026,678,1,0,0,0
12,6,2015-03-21,6266,734,1,0,0,0
13,6,2015-03-21,4811,367,1,0,0,0
14,6,2015-03-21,3182,393,1,0,0,0
15,6,2015-03-21,5350,566,1,0,0,0
16,6,2015-03-21,5203,581,1,0,0,0
17,6,2015-03-21,2829,323,1,0,0,0
18,6,2015-03-21,5024,533,1,0,0,0
19,6,2015-03-21,4454,401,1,0,0,0
20,6,2015-03-21,5876,520,1,0,0,0
1,5,2015-03-20,4057,472,1,1,0,0
2,5,2015-03-20,4759,532,1,1,0,0
3,5,2015-03-20,6971,724,1,1,0,0
4,5,2015-03-20,9421,1270,1,1,0,0
5,5,2015-03-20,4709,554,1,1,0,0
6,5,2015-03-20,5120,592,1,1,0,0
7,5,2015-03-20,8293,918,1,1,0,0
8,5,2015-03-20,5853,675,1,1,0,0
9,5,2015-03-20,8419,700,1,1,0,0
10,5,2015-03-20,6836,684,1,1,0,0
11,5,2015-03-20,6970,1009,1,1,0,0
12,5,2015-03-20,8440,918,1,1,0,0
13,5,2015-03-20,6039,406,1,1,0,0
14,5,2015-03-20,6195,696,1,1,0,0
15,5,2015-03-20,7804,771,1,1,0,0
16,5,2015-03-20,7850,887,1,1,0,0
17,5,2015-03-20,7290,864,1,1,0,0
18,5,2015-03-20,8279,855,1,1,0,0
19,5,2015-03-20,7400,684,1,1,0,0
20,5,2015-03-20,7596,815,1,1,0,0
1,4,2015-03-19,4748,535,1,1,0,0
2,4,2015-03-19,5737,622,1,1,0,0
3,4,2015-03-19,6947,760,1,1,0,0
4,4,2015-03-19,9107,1228,1,1,0,0
5,4,2015-03-19,4720,554,1,1,0,0
6,4,2015-03-19,5053,574,1,1,0,0
7,4,2015-03-19,7834,857,1,1,0,0
8,4,2015-03-19,8233,909,1,1,0,0
9,4,2015-03-19,8188,689,1,1,0,0
10,4,2015-03-19,4909,576,1,1,0,0
11,4,2015-03-19,7358,1058,1,1,0,0
12,4,2015-03-19,8594,968,1,1,0,0
13,4,2015-03-19,4526,351,1,1,0,0
14,4,2015-03-19,5623,641,1,1,0,0
15,4,2015-03-19,7418,695,1,1,0,0
16,4,2015-03-19,8769,1009,1,1,0,0
17,4,2015-03-19,7047,840,1,1,0,0
18,4,2015-03-19,7591,774,1,1,0,0
19,4,2015-03-19,7280,669,1,1,0,0
20,4,2015-03-19,9437,1065,1,1,0,0
1,3,2015-03-18,3858,504,1,1,0,0
2,3,2015-03-18,7034,786,1,1,0,0
3,3,2015-03-18,8626,839,1,1,0,0
4,3,2015-03-18,9074,1225,1,1,0,0
5,3,2015-03-18,5261,634,1,1,0,0
6,3,2015-03-18,4766,571,1,1,0,0
7,3,2015-03-18,8236,850,1,1,0,0
8,3,2015-03-18,6737,782,1,1,0,0
9,3,2015-03-18,7457,668,1,1,0,0
10,3,2015-03-18,6448,631,1,1,0,0
11,3,2015-03-18,8833,1243,1,1,0,0
12,3,2015-03-18,8958,1007,1,1,0,0
13,3,2015-03-18,6420,378,1,1,0,0
14,3,2015-03-18,5974,660,1,1,0,0
15,3,2015-03-18,6769,605,1,1,0,0
16,3,2015-03-18,8250,946,1,1,0,0
17,3,2015-03-18,7280,855,1,1,0,0
18,3,2015-03-18,7957,797,1,1,0,0
19,3,2015-03-18,7596,699,1,1,0,0
20,3,2015-03-18,9257,1030,1,1,0,0
1,2,2015-03-17,4806,555,1,1,0,0
2,2,2015-03-17,6457,666,1,1,0,0
3,2,2015-03-17,8154,857,1,1,0,0
4,2,2015-03-17,9733,1326,1,1,0,0
5,2,2015-03-17,5555,601,1,1,0,0
6,2,2015-03-17,5711,637,1,1,0,0
7,2,2015-03-17,10180,1008,1,1,0,0
8,2,2015-03-17,7635,848,1,1,0,0
9,2,2015-03-17,8692,704,1,1,0,0
10,2,2015-03-17,6951,734,1,1,0,0
11,2,2015-03-17,8490,1177,1,1,0,0
12,2,2015-03-17,10234,1077,1,1,0,0
13,2,2015-03-17,5639,415,1,1,0,0
14,2,2015-03-17,7013,726,1,1,0,0
15,2,2015-03-17,7262,664,1,1,0,0
16,2,2015-03-17,9395,1028,1,1,0,0
17,2,2015-03-17,9114,1025,1,1,0,0
18,2,2015-03-17,7714,814,1,1,0,0
19,2,2015-03-17,8341,786,1,1,0,0
20,2,2015-03-17,9433,1002,1,1,0,0
1,1,2015-03-16,5695,605,1,1,0,0
2,1,2015-03-16,7209,734,1,1,0,0
3,1,2015-03-16,8998,869,1,1,0,0
4,1,2015-03-16,11977,1594,1,1,0,0
5,1,2015-03-16,7237,718,1,1,0,0
6,1,2015-03-16,7358,790,1,1,0,0
7,1,2015-03-16,11551,1042,1,1,0,0
8,1,2015-03-16,9339,999,1,1,0,0
9,1,2015-03-16,11397,883,1,1,0,0
10,1,2015-03-16,8298,816,1,1,0,0
11,1,2015-03-16,10156,1286,1,1,0,0
12,1,2015-03-16,11828,1170,1,1,0,0
13,1,2015-03-16,7514,499,1,1,0,0
14,1,2015-03-16,8346,859,1,1,0,0
15,1,2015-03-16,9465,856,1,1,0,0
16,1,2015-03-16,11447,1191,1,1,0,0
17,1,2015-03-16,10474,1137,1,1,0,0
18,1,2015-03-16,9960,928,1,1,0,0
19,1,2015-03-16,10057,892,1,1,0,0
20,1,2015-03-16,10957,1020,1,1,0,0
1,7,2015-03-15,0,0,0,0,0,0
2,7,2015-03-15,0,0,0,0,0,0
3,7,2015-03-15,0,0,0,0,0,0
4,7,2015-03-15,0,0,0,0,0,0
5,7,2015-03-15,0,0,0,0,0,0
6,7,2015-03-15,0,0,0,0,0,0
7,7,2015-03-15,0,0,0,0,0,0
8,7,2015-03-15,0,0,0,0,0,0
9,7,2015-03-15,0,0,0,0,0,0
10,7,2015-03-15,0,0,0,0,0,0
11,7,2015-03-15,0,0,0,0,0,0
12,7,2015-03-15,0,0,0,0,0,0
13,7,2015-03-15,0,0,0,0,0,0
14,7,2015-03-15,0,0,0,0,0,0
15,7,2015-03-15,0,0,0,0,0,0
16,7,2015-03-15,0,0,0,0,0,0
17,7,2015-03-15,0,0,0,0,0,0
18,7,2015-03-15,0,0,0,0,0,0
19,7,2015-03-15,0,0,0,0,0,0
20,7,2015-03-15,0,0,0,0,0,0
1,6,2015-03-14,5225,599,1,0,0,0
2,6,2015-03-14,2803,343,1,0,0,0
3,6,2015-03-14,4189,464,1,0,0,0
4,6,2015-03-14,10105,1412,1,0,0,0
5,6,2015-03-14,2042,204,1,0,0,0
6,6,2015-03-14,3164,338,1,0,0,0
7,6,2015-03-14,5549,583,1,0,0,0
8,6,2015-03-14,3414,405,1,0,0,0
9,6,2015-03-14,6976,583,1,0,0,0
10,6,2015-03-14,5187,539,1,0,0,0
11,6,2015-03-14,6096,831,1,0,0,0
12,6,2015-03-14,6980,800,1,0,0,0
13,6,2015-03-14,4820,378,1,0,0,0
14,6,2015-03-14,3433,411,1,0,0,0
15,6,2015-03-14,6488,664,1,0,0,0
16,6,2015-03-14,5400,585,1,0,0,0
17,6,2015-03-14,2645,279,1,0,0,0
18,6,2015-03-14,4597,478,1,0,0,0
19,6,2015-03-14,4333,397,1,0,0,0
20,6,2015-03-14,6485,556,1,0,0,0
1,5,2015-03-13,3725,493,1,0,0,0
2,5,2015-03-13,3430,442,1,0,0,0
3,5,2015-03-13,5831,688,1,0,0,0
4,5,2015-03-13,8271,1150,1,0,0,0
5,5,2015-03-13,4146,494,1,0,0,0
6,5,2015-03-13,4149,501,1,0,0,0
7,5,2015-03-13,8025,884,1,0,0,0
8,5,2015-03-13,4712,601,1,0,0,0
9,5,2015-03-13,6214,556,1,0,0,0
10,5,2015-03-13,5755,576,1,0,0,0
11,5,2015-03-13,6908,1011,1,0,0,0
12,5,2015-03-13,6540,784,1,0,0,0
13,5,2015-03-13,4156,330,1,0,0,0
14,5,2015-03-13,4982,625,1,0,0,0
15,5,2015-03-13,6823,654,1,0,0,0
16,5,2015-03-13,8013,875,1,0,0,0
17,5,2015-03-13,5581,746,1,0,0,0
18,5,2015-03-13,5880,664,1,0,0,0
19,5,2015-03-13,7023,659,1,0,0,0
20,5,2015-03-13,7157,732,1,0,0,0
1,4,2015-03-12,3141,405,1,0,0,0
2,4,2015-03-12,4065,514,1,0,0,0
3,4,2015-03-12,5725,693,1,0,0,0
4,4,2015-03-12,7046,1043,1,0,0,0
5,4,2015-03-12,3580,481,1,0,0,0
6,4,2015-03-12,3635,521,1,0,0,0
7,4,2015-03-12,7113,839,1,0,0,0
8,4,2015-03-12,6036,846,1,0,0,0
9,4,2015-03-12,5456,530,1,0,0,0
10,4,2015-03-12,4595,536,1,0,0,0
11,4,2015-03-12,6538,1020,1,0,0,0
12,4,2015-03-12,6688,823,1,0,0,0
13,4,2015-03-12,3546,287,1,0,0,0
14,4,2015-03-12,5433,656,1,0,0,0
15,4,2015-03-12,5645,597,1,0,0,0
16,4,2015-03-12,6887,866,1,0,0,0
17,4,2015-03-12,5141,684,1,0,0,0
18,4,2015-03-12,5940,669,1,0,0,0
19,4,2015-03-12,5550,635,1,0,0,0
20,4,2015-03-12,8302,970,1,0,0,0
1,3,2015-03-11,4170,521,1,0,0,0
2,3,2015-03-11,4949,668,1,0,0,0
3,3,2015-03-11,5302,651,1,0,0,0
4,3,2015-03-11,7612,1035,1,0,0,0
5,3,2015-03-11,3985,568,1,0,0,0
6,3,2015-03-11,3904,507,1,0,0,0
7,3,2015-03-11,6497,760,1,0,0,0
8,3,2015-03-11,4972,663,1,0,0,0
9,3,2015-03-11,5868,573,1,0,0,0
10,3,2015-03-11,5043,552,1,0,0,0
11,3,2015-03-11,7523,1150,1,0,0,0
12,3,2015-03-11,6858,843,1,0,0,0
13,3,2015-03-11,3699,319,1,0,0,0
14,3,2015-03-11,4645,587,1,0,0,0
15,3,2015-03-11,5126,562,1,0,0,0
16,3,2015-03-11,7644,892,1,0,0,0
17,3,2015-03-11,5423,737,1,0,0,0
18,3,2015-03-11,6120,704,1,0,0,0
19,3,2015-03-11,5760,623,1,0,0,0
20,3,2015-03-11,7099,797,1,0,0,0
1,2,2015-03-10,3805,491,1,0,0,0
2,2,2015-03-10,4095,512,1,0,0,0
3,2,2015-03-10,5223,677,1,0,0,0
4,2,2015-03-10,7637,1097,1,0,0,0
5,2,2015-03-10,3935,528,1,0,0,0
6,2,2015-03-10,4356,573,1,0,0,0
7,2,2015-03-10,8002,891,1,0,0,0
8,2,2015-03-10,5538,719,1,0,0,0
9,2,2015-03-10,5538,544,1,0,0,0
10,2,2015-03-10,5511,619,1,0,0,0
11,2,2015-03-10,6690,1075,1,0,0,0
12,2,2015-03-10,6615,813,1,0,0,0
13,2,2015-03-10,3174,275,1,0,0,0
14,2,2015-03-10,4886,599,1,0,0,0
15,2,2015-03-10,5393,573,1,0,0,0
16,2,2015-03-10,7243,891,1,0,0,0
17,2,2015-03-10,4657,672,1,0,0,0
18,2,2015-03-10,5977,648,1,0,0,0
19,2,2015-03-10,5905,631,1,0,0,0
20,2,2015-03-10,8359,928,1,0,0,0
1,1,2015-03-09,3701,485,1,0,0,0
2,1,2015-03-09,3967,532,1,0,0,0
3,1,2015-03-09,5430,673,1,0,0,0
4,1,2015-03-09,8284,1159,1,0,0,0
5,1,2015-03-09,4264,555,1,0,0,0
6,1,2015-03-09,4113,529,1,0,0,0
7,1,2015-03-09,7840,875,1,0,0,0
8,1,2015-03-09,4841,730,1,0,0,0
9,1,2015-03-09,7172,651,1,0,0,0
10,1,2015-03-09,5821,629,1,0,0,0
11,1,2015-03-09,6831,1073,1,0,0,0
12,1,2015-03-09,7376,926,1,0,0,0
13,1,2015-03-09,3296,290,1,0,0,0
14,1,2015-03-09,5335,668,1,0,0,0
15,1,2015-03-09,5824,618,1,0,0,0
16,1,2015-03-09,8101,955,1,0,0,0
17,1,2015-03-09,5518,739,1,0,0,0
18,1,2015-03-09,7003,744,1,0,0,0
19,1,2015-03-09,6630,703,1,0,0,0
20,1,2015-03-09,8576,982,1,0,0,0
1,7,2015-03-08,0,0,0,0,0,0
2,7,2015-03-08,0,0,0,0,0,0
3,7,2015-03-08,0,0,0,0,0,0
4,7,2015-03-08,0,0,0,0,0,0
5,7,2015-03-08,0,0,0,0,0,0
6,7,2015-03-08,0,0,0,0,0,0
7,7,2015-03-08,0,0,0,0,0,0
8,7,2015-03-08,0,0,0,0,0,0
9,7,2015-03-08,0,0,0,0,0,0
10,7,2015-03-08,0,0,0,0,0,0
11,7,2015-03-08,0,0,0,0,0,0
12,7,2015-03-08,0,0,0,0,0,0
13,7,2015-03-08,0,0,0,0,0,0
14,7,2015-03-08,0,0,0,0,0,0
15,7,2015-03-08,0,0,0,0,0,0
16,7,2015-03-08,0,0,0,0,0,0
17,7,2015-03-08,0,0,0,0,0,0
18,7,2015-03-08,0,0,0,0,0,0
19,7,2015-03-08,0,0,0,0,0,0
20,7,2015-03-08,0,0,0,0,0,0
1,6,2015-03-07,4592,570,1,0,0,0
2,6,2015-03-07,3211,367,1,0,0,0
3,6,2015-03-07,4525,544,1,0,0,0
4,6,2015-03-07,10213,1412,1,0,0,0
5,6,2015-03-07,1689,191,1,0,0,0
6,6,2015-03-07,3036,368,1,0,0,0
7,6,2015-03-07,6173,639,1,0,0,0
8,6,2015-03-07,3589,468,1,0,0,0
9,6,2015-03-07,6224,582,1,0,0,0
10,6,2015-03-07,4710,523,1,0,0,0
11,6,2015-03-07,6060,845,1,0,0,0
12,6,2015-03-07,6456,838,1,0,0,0
13,6,2015-03-07,4773,398,1,0,0,0
14,6,2015-03-07,3555,410,1,0,0,0
15,6,2015-03-07,5870,613,1,0,0,0
16,6,2015-03-07,5143,651,1,0,0,0
17,6,2015-03-07,2589,378,1,0,0,0
18,6,2015-03-07,4684,509,1,0,0,0
19,6,2015-03-07,4531,422,1,0,0,0
20,6,2015-03-07,5686,560,1,0,0,0
1,5,2015-03-06,5397,579,1,1,0,0
2,5,2015-03-06,4823,550,1,1,0,0
3,5,2015-03-06,8057,829,1,1,0,0
4,5,2015-03-06,10130,1346,1,1,0,0
5,5,2015-03-06,5221,580,1,1,0,0
6,5,2015-03-06,5392,603,1,1,0,0
7,5,2015-03-06,9785,1033,1,1,0,0
8,5,2015-03-06,6260,687,1,1,0,0
9,5,2015-03-06,8287,711,1,1,0,0
10,5,2015-03-06,6374,667,1,1,0,0
11,5,2015-03-06,7655,1067,1,1,0,0
12,5,2015-03-06,8191,925,1,1,0,0
13,5,2015-03-06,6279,437,1,1,0,0
14,5,2015-03-06,6317,717,1,1,0,0
15,5,2015-03-06,7738,723,1,1,0,0
16,5,2015-03-06,8512,924,1,1,0,0
17,5,2015-03-06,6729,850,1,1,0,0
18,5,2015-03-06,8334,876,1,1,0,0
19,5,2015-03-06,7947,751,1,1,0,0
20,5,2015-03-06,7751,867,1,1,0,0
1,4,2015-03-05,4419,534,1,1,0,0
2,4,2015-03-05,5532,634,1,1,0,0
3,4,2015-03-05,7784,833,1,1,0,0
4,4,2015-03-05,10428,1370,1,1,0,0
5,4,2015-03-05,4692,538,1,1,0,0
6,4,2015-03-05,4500,553,1,1,0,0
7,4,2015-03-05,7927,861,1,1,0,0
8,4,2015-03-05,8282,939,1,1,0,0
9,4,2015-03-05,8004,678,1,1,0,0
10,4,2015-03-05,5823,637,1,1,0,0
11,4,2015-03-05,8051,1162,1,1,0,0
12,4,2015-03-05,8772,958,1,1,0,0
13,4,2015-03-05,5480,386,1,1,0,0
14,4,2015-03-05,6547,715,1,1,0,0
15,4,2015-03-05,6950,687,1,1,0,0
16,4,2015-03-05,8418,928,1,1,0,0
17,4,2015-03-05,6485,789,1,1,0,0
18,4,2015-03-05,7526,764,1,1,0,0
19,4,2015-03-05,7552,737,1,1,0,0
20,4,2015-03-05,9199,981,1,1,0,0
1,3,2015-03-04,5568,597,1,1,0,0
2,3,2015-03-04,6478,764,1,1,0,0
3,3,2015-03-04,7651,768,1,1,0,0
4,3,2015-03-04,9881,1329,1,1,0,0
5,3,2015-03-04,6407,697,1,1,0,0
6,3,2015-03-04,5714,621,1,1,0,0
7,3,2015-03-04,9155,889,1,1,0,0
8,3,2015-03-04,6805,743,1,1,0,0
9,3,2015-03-04,8367,716,1,1,0,0
10,3,2015-03-04,5959,600,1,1,0,0
11,3,2015-03-04,8625,1154,1,1,0,0
12,3,2015-03-04,8499,918,1,1,0,0
13,3,2015-03-04,5066,381,1,1,0,0
14,3,2015-03-04,6707,686,1,1,0,0
15,3,2015-03-04,7096,664,1,1,0,0
16,3,2015-03-04,8908,957,1,1,0,0
